====================== Running testcase 1 ======================
rm -f legalizer
g++ -std=c++17 -O3 -Wall -Wextra main.cpp -o legalizer
./legalizer ./input/testcase1/architecture.txt ./input/testcase1/instance.txt ./input/testcase1/netlist.txt ./output/output1.txt
T: 9229300, bestHPWL: 12299.5
T: 9186000, bestHPWL: 12299.5
T: 8919700, bestHPWL: 12299.5
T: 8775400, bestHPWL: 12299.5
T: 8767500, bestHPWL: 12299.5
T: 8722000, bestHPWL: 12299.5
T: 8558600, bestHPWL: 12299.5
T: 8399100, bestHPWL: 12299.5
T: 8394900, bestHPWL: 12299.5
T: 8390700, bestHPWL: 12299.5
T: 8331300, bestHPWL: 12299.5
T: 8326300, bestHPWL: 12299.5
T: 8294700, bestHPWL: 12299.5
T: 8250000, bestHPWL: 12299.5
T: 8246700, bestHPWL: 12299.5
T: 8243400, bestHPWL: 12299.5
T: 8240100, bestHPWL: 12299.5
T: 8203900, bestHPWL: 12299.5
T: 8174400, bestHPWL: 12299.5
T: 8100300, bestHPWL: 12299.5
T: 8063100, bestHPWL: 12299.5
T: 8050200, bestHPWL: 12299.5
T: 7939000, bestHPWL: 12299.5
T: 7926300, bestHPWL: 12299.5
T: 7875700, bestHPWL: 12293.5
T: 7863100, bestHPWL: 12293.5
T: 7726600, bestHPWL: 12293.5
T: 7525900, bestHPWL: 12293.5
T: 7510100, bestHPWL: 12293.5
T: 7453200, bestHPWL: 12293.5
T: 7445000, bestHPWL: 12293.5
T: 7416000, bestHPWL: 12293.5
T: 7381200, bestHPWL: 12293.5
T: 7347300, bestHPWL: 12293.5
T: 7227700, bestHPWL: 12293.5
T: 6930200, bestHPWL: 12293.5
T: 6911500, bestHPWL: 12293.5
T: 6896300, bestHPWL: 12293.5
T: 6889400, bestHPWL: 12293.5
T: 6855700, bestHPWL: 12293.5
T: 6837200, bestHPWL: 12293.5
T: 6568900, bestHPWL: 12293.5
T: 6441300, bestHPWL: 12293.5
T: 6405300, bestHPWL: 12293.5
T: 6357400, bestHPWL: 12293.5
T: 6332000, bestHPWL: 12293.5
T: 6324400, bestHPWL: 12293.5
T: 6156400, bestHPWL: 12293.5
T: 6136100, bestHPWL: 12293.5
T: 6067700, bestHPWL: 12293.5
T: 5652600, bestHPWL: 12292.5
T: 5639600, bestHPWL: 12292.5
T: 5609200, bestHPWL: 12292.5
T: 5538900, bestHPWL: 12279.5
T: 5511800, bestHPWL: 12279.5
T: 5477700, bestHPWL: 12279.5
T: 5435100, bestHPWL: 12279.5
T: 5384200, bestHPWL: 12279.5
T: 5360000, bestHPWL: 12279.5
T: 5302900, bestHPWL: 12279.5
T: 5229100, bestHPWL: 12279.5
T: 5212900, bestHPWL: 12279.5
T: 5205600, bestHPWL: 12279.5
T: 5155300, bestHPWL: 12270.5
T: 5119300, bestHPWL: 12270.5
T: 5086100, bestHPWL: 12270.5
T: 4938100, bestHPWL: 12270.5
T: 4922800, bestHPWL: 12270.5
T: 4904600, bestHPWL: 12270.5
T: 4899200, bestHPWL: 12270.5
T: 4894300, bestHPWL: 12270.5
T: 4885000, bestHPWL: 12270.5
T: 4868400, bestHPWL: 12270.5
T: 4850400, bestHPWL: 12270.5
T: 4646500, bestHPWL: 12256.5
T: 4623300, bestHPWL: 12256.5
T: 4615900, bestHPWL: 12256.5
T: 4499100, bestHPWL: 12256.5
T: 4498200, bestHPWL: 12256.5
T: 4497300, bestHPWL: 12256.5
T: 4496400, bestHPWL: 12256.5
T: 4495500, bestHPWL: 12256.5
T: 4494600, bestHPWL: 12256.5
T: 4493700, bestHPWL: 12256.5
T: 4492800, bestHPWL: 12256.5
T: 4491900, bestHPWL: 12256.5
T: 4491000, bestHPWL: 12256.5
T: 4490100, bestHPWL: 12256.5
T: 4473500, bestHPWL: 12256.5
T: 4438700, bestHPWL: 12256.5
T: 4300900, bestHPWL: 12249.5
T: 4263600, bestHPWL: 12249.5
T: 4220700, bestHPWL: 12249.5
T: 4216900, bestHPWL: 12249.5
T: 4207200, bestHPWL: 12249.5
T: 4172800, bestHPWL: 12249.5
T: 4160700, bestHPWL: 12249.5
T: 4130400, bestHPWL: 12249.5
T: 4120900, bestHPWL: 12249.5
T: 4047700, bestHPWL: 12249.5
T: 4039600, bestHPWL: 12249.5
T: 3950400, bestHPWL: 12249.5
T: 3904000, bestHPWL: 12249.5
T: 3789600, bestHPWL: 12249.5
T: 3777100, bestHPWL: 12243.5
T: 3707400, bestHPWL: 12243.5
T: 3698500, bestHPWL: 12243.5
T: 3694800, bestHPWL: 12243.5
T: 3691100, bestHPWL: 12243.5
T: 3686300, bestHPWL: 12243.5
T: 3581500, bestHPWL: 12243.5
T: 3528100, bestHPWL: 12243.5
T: 3501700, bestHPWL: 12243.5
T: 3435700, bestHPWL: 12243.5
T: 3407600, bestHPWL: 12243.5
T: 3382100, bestHPWL: 12243.5
T: 3361500, bestHPWL: 12243.5
T: 3349400, bestHPWL: 12243.5
T: 3342700, bestHPWL: 12243.5
T: 3329000, bestHPWL: 12243.5
T: 3313700, bestHPWL: 12243.5
T: 3216900, bestHPWL: 12240.5
T: 3109500, bestHPWL: 12240.5
T: 3023200, bestHPWL: 12235.5
T: 3009600, bestHPWL: 12235.5
T: 2980200, bestHPWL: 12235.5
T: 2957600, bestHPWL: 12235.5
T: 2950200, bestHPWL: 12235.5
T: 2933700, bestHPWL: 12235.5
T: 2913200, bestHPWL: 12235.5
T: 2878100, bestHPWL: 12235.5
T: 2870900, bestHPWL: 12235.5
T: 2868600, bestHPWL: 12235.5
T: 2855700, bestHPWL: 12235.5
T: 2847700, bestHPWL: 12235.5
T: 2842000, bestHPWL: 12235.5
T: 2838300, bestHPWL: 12235.5
T: 2831200, bestHPWL: 12235.5
T: 2762000, bestHPWL: 12235.5
T: 2757300, bestHPWL: 12235.5
T: 2750400, bestHPWL: 12235.5
T: 2739400, bestHPWL: 12235.5
T: 2682100, bestHPWL: 12235.5
T: 2677000, bestHPWL: 12235.5
